City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,ocean city,39.2776,-74.5746,5.01,57,3,2.24,US,1669938547
212,ripky,51.801,31.0838,-2.49,77,99,4.37,UA,1669938547
213,lavrentiya,65.5833,-171.0,0.32,99,100,5.58,RU,1669938547
214,lekoni,-1.5843,14.2591,23.17,77,95,1.75,GA,1669938547
215,hilo,19.7297,-155.09,29.04,79,100,4.12,US,1669938548
216,tiksi,71.6872,128.8694,-23.19,95,100,4.6,RU,1669938521
217,qujing,25.4833,103.7833,7.32,91,100,2.22,CN,1669938548
218,dikson,73.5069,80.5464,-3.02,96,100,6.7,RU,1669938548
219,sept-iles,50.2001,-66.3821,-0.71,80,100,7.2,CA,1669938548
220,gherla,47.0333,23.9167,4.39,61,100,0.88,RO,1669938548
221,hun,29.1268,15.9477,12.7,40,43,3.44,LY,1669938548
222,hami,42.8,93.45,-8.92,22,100,0.91,CN,1669938549
223,saldanha,-33.0117,17.9442,18.03,86,28,4.95,ZA,1669938436
224,souillac,-20.5167,57.5167,23.21,78,75,2.06,MU,1669938549
225,port hardy,50.6996,-127.4199,-1.9,69,75,3.09,CA,1669938549
226,newcastleton,55.1796,-2.8127,7.19,96,100,0.84,GB,1669938550
227,evensk,61.95,159.2333,-9.16,94,99,1.77,RU,1669938550
228,fort saint james,54.4333,-124.25,-21.3,95,76,1.03,CA,1669938550
229,buala,-8.145,159.5921,26.94,84,100,2.33,SB,1669938550
230,ancud,-41.8697,-73.8203,11.24,71,98,2.91,CL,1669938550
231,kupang,-10.1667,123.5833,28.32,83,20,2.06,ID,1669938550
232,aklavik,68.2191,-135.0107,-16.0,85,75,3.09,CA,1669938551
233,fairbanks,64.8378,-147.7164,-15.81,85,75,2.06,US,1669938551
234,las vegas,36.175,-115.1372,17.38,31,40,7.72,US,1669938303
235,kununurra,-15.7667,128.7333,29.99,48,61,1.03,AU,1669938551
236,nouadhibou,20.931,-17.0347,17.99,72,83,6.69,MR,1669938551
237,pogranichnyy,44.4064,131.3769,-13.33,57,5,3.3,RU,1669938551
238,nouakchott,18.0858,-15.9785,20.82,69,63,5.85,MR,1669938254
239,roma,43.2128,-75.4557,2.08,64,100,7.72,US,1669938379
240,mabaruma,8.2,-59.7833,22.59,92,11,1.24,GY,1669938551
241,uyuni,-20.4597,-66.825,10.11,20,0,5.94,BO,1669938552
242,grand gaube,-20.0064,57.6608,23.22,75,7,4.02,MU,1669938552
243,damara,4.9608,18.7035,22.66,81,100,1.14,CF,1669938552
244,ganzhou,28.8184,115.4327,1.81,88,90,1.09,CN,1669938552
245,padang,-0.9492,100.3543,24.03,92,100,1.66,ID,1669938383
